A/C/D/U,Valid-From Date,Valid To Date,Offer Display Name,Offer ID,License Agreement Type,Purchase Unit,Secondary License Type,End Customer Type,List Price,ERP Price,Material
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 1 for Students,116a3979-6a20-443e-a31a-2db013ab1788,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,1120,1600,BCI-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 1 Overage,30f8a177-889c-4eaa-9d90-389a162505ce,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,350,500,B9L-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 1 Overage for Faculty,eac345ef-b7a6-469b-b8ff-343a4e77ec97,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,192.5,275,BIJ-00002
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 1 Overage for Students,909d4556-6437-447e-9f94-d496f8d8ca25,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,140,200,BIJ-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 2,6ec526ca-e2f7-4e83-b004-ebace69fe38b,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,2800,4000,B1K-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 2 for Faculty,8eda517e-ad24-4da6-a03c-ae37f07da117,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,1540,2200,BEB-00002
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 2 for Students,5231f964-0e4d-4032-a8c3-96475e3415ca,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,1120,1600,BEB-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 2 Overage,172fbf7a-e5bd-4f37-8eb9-c4867e49c9d6,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,350,500,B9N-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 2 Overage for Faculty,014111a2-5d31-4cd3-ae1b-b1d574af22f4,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,192.5,275,BIL-00002
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 2 Overage for Students,da564dee-4de1-4ee2-b189-727566a39511,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,140,200,BIL-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 3,2a3a467d-3412-4cdf-8cf2-03613e9c5083,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,2800,4000,B1M-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 3 for Faculty,eb3e7855-136e-4b80-9519-eaa0662d8ccd,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,1540,2200,BED-00002
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 3 for Students,3b66b0bf-561c-41c6-ad94-ca54d487ccdc,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,1120,1600,BED-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 3 Overage,e0c5b8b8-1249-4847-b9a6-a57f1d066d8d,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,350,500,B9Q-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 3 Overage for Faculty,e35b9ea4-333a-4a7e-977f-06942110b04e,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,192.5,275,BIN-00002
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 3 Overage for Students,51cda191-f06e-4288-9102-24346cd45c24,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,140,200,BIN-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 4,6693e3bf-80ee-4b26-92b1-45bd03faf546,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,2800,4000,B1P-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 4 for Faculty,3092641e-6a77-4c34-adb4-221286db520b,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,1540,2200,BEG-00002
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 4 for Students,aa6046de-5b7a-48f3-a31d-67ace40a934f,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,1120,1600,BEG-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 4 Overage,837754d0-51ea-4186-a048-99598e7494bf,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,350,500,B9S-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 4 Overage for Faculty,d418c726-de81-48f2-a99d-6ca05abaafac,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,192.5,275,BIQ-00002
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 4 Overage for Students,aa573972-3e4b-46b7-bef4-78c883c094be,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,140,200,BIQ-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 5,c8c1a99d-3b6a-455d-afc9-b9dc06fba49e,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,2800,4000,B1R-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 5 for Faculty,b22558f8-99d2-4b21-82f9-251f7777f85d,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,1540,2200,BEI-00002
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 5 for Students,c6196550-1197-4baf-948e-4681a53b91dc,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,1120,1600,BEI-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 5 Overage,7e2b8ee3-798c-4654-896c-8b2b70d408b6,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,350,500,B9U-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 5 Overage for Faculty,2b0c1f09-2e2e-40e1-8dca-dc384dd57455,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,192.5,275,BIS-00002
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 5 Overage for Students,b0ca6c5a-f9f2-4eac-8388-bfe535a37882,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,140,200,BIS-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 6,c4d47887-7a36-477c-8497-2d78fd9bc63a,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,2800,4000,B1T-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 6 for Faculty,f37dcbdf-794b-4b2b-930a-bcdb9f94f1f0,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,1540,2200,BEK-00002
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 6 for Students,593e7928-4837-4f46-bccd-5666ac9a7cbc,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,1120,1600,BEK-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 6 Overage,576a34f8-da5c-4159-97aa-a9cbcfed555d,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,350,500,B9W-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 6 Overage for Faculty,7aadea71-8fea-4600-8725-1d6b7de42220,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,192.5,275,BIU-00002
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 1 Band 6 Overage for Students,a2c50591-e8ec-48cb-8812-e0b59b1e8d18,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,140,200,BIU-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 1,fead3624-6cf7-4fb0-b301-c2f6e5000bb7,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,10150,14500,B1V-00004
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 1 for Faculty,b0390587-39e4-4bdd-9d47-2da24fef0566,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,5582.5,7975,BEM-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 1 for Students,d0509c8c-9228-45e9-b13e-6656dc89f707,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,4060,5800,BEM-00004
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 1 Overage,973a7fec-6fbb-4e87-bc89-2e68ab1f220a,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,350,500,B9Y-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 1 Overage for Faculty,9b4930df-c95e-4c48-a52c-a5561071620e,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,192.5,275,BIW-00002
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 1 Overage for Students,ccf4480d-1bc9-4bf5-8335-e9ffea38cf79,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,140,200,BIW-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 2,96bb5cb5-d482-4d7e-a4b8-19f42a03c9cc,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,10150,14500,B1X-00004
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 2 for Faculty,d96593d0-2cd0-49a2-9a54-64bb55b59973,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,5582.5,7975,BEP-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 2 for Students,bdde57cf-83ec-4d9e-b874-d87b348ca261,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,4060,5800,BEP-00004
